E  |||  
E  |||  
E  |||  
E  |||  
M  |||  BLADE RUNNER
E  |||  
E  |||  
E  |||  
N  |||  Screenplay by
E  |||  
M  |||  HAMPTON FANCHER
E  |||  
N  |||  and
E  |||  
M  |||  DAVID PEOPLES
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
N  |||  February 23, 1981
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
M  |||  NOTE: THE HARD COPY OF THIS SCRIPT CONTAINED SCENE NUMBERS
M  |||  AND SOME "SCENE OMITTED" SLUGS. THEY HAVE BEEN REMOVED FOR
M  |||  THIS SOFT COPY.
E  |||  
E  |||  
E  |||  
E  |||  
N  |||  android (an'droid) adj. Possessing human features - n.
N  |||  A synthetic man created from biological materials.
N  |||  Also called humanoid. (Late Greek androeides,
N  |||  manlike: ANDR(O) - OID.)
E  |||  
M  |||  THE AMERICAN HERITAGE
M  |||  DICTIONARY OF THE ENGLISH
M  |||  LANGUAGE (1976)
E  |||  
E  |||  
E  |||  
N  |||  android (an'droid) n, Gk. humanoid automation. more at
N  |||  robot./ 1. early version utilized for work too
N  |||  boring, dangerous or unpleasant for humans.
N  |||  2. second generation bio-engineered. Electronic
N  |||  relay units and positronic brains. Used in space
N  |||  to explore inhospitable environments. 3. third
N  |||  generation synthogenetic. REPLICANT, constructed
N  |||  of skin/flesh culture. Selected enogenic transfer
N  |||  conversion. Capable of self perpetuating thought.
N  |||  paraphysical abilities. Developed for emigration
N  |||  program.
E  |||  
M  |||  WEBSTER'S DICTIONARY
M  |||  New International (2012)
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
E  |||  
M  |||  FADE IN:
E  |||  
M  |||  EXT. HADES - DUSK
E  |||  
N  |||  We are MOVING TOWARD the Tyrell Corporation across a
N  |||  vast plain of industrialization, menacing shapes on the
N  |||  horizon, stacks belching flames five hundred feet into
N  |||  the sky the color of cigar ash. The CAMERA MOVES INTO
N  |||  a window in the large pyramid-shaped building. A man
N  |||  is sitting at a table. Another man enters the room and
N  |||  sits down. The following scene is reflected in the eye
N  |||  until HOLDEN is seated.
E  |||  
E  |||  
M  |||  INT. TYRELL CORPORATION INTERROGATION ROOM - DUSK
E  |||  
N  |||  The eye is magnified and deeply revealed. Flecks of
